player_id,total_playtime_hours,sessions_last_30d,sessions_last_7d,purchases_count,max_level,friends_count,churned
1,102,7,16,4,30,31,0
2,435,22,8,1,55,40,0
3,348,13,3,5,14,14,0
4,270,55,6,2,13,30,0
5,106,54,1,5,84,5,0
6,71,26,16,4,90,24,0
7,188,53,7,1,27,48,0
8,20,28,14,4,89,17,0
9,102,38,14,4,9,21,0
10,121,52,7,8,41,30,0
11,466,38,15,7,48,35,0
12,214,0,18,6,12,8,0
13,330,16,10,2,10,45,0
14,458,40,1,9,6,2,0
15,87,29,16,3,34,32,0
16,372,52,15,5,52,26,0
17,99,12,14,2,41,42,0
18,359,20,12,8,83,0,0
19,151,18,14,7,6,43,0
20,130,52,3,5,2,8,0
21,149,18,15,3,15,4,0
22,308,56,11,6,17,14,0
23,257,24,3,2,16,49,0
24,343,21,2,9,28,8,0
25,491,30,16,7,85,44,0
26,413,16,17,0,72,27,0
27,293,54,17,2,10,12,0
28,385,22,16,4,10,23,0
29,191,31,11,4,10,44,0
30,443,9,3,9,73,9,0
31,276,9,11,1,28,41,0
32,160,35,19,9,24,21,0
33,459,7,14,7,19,38,0
34,313,53,15,4,97,21,0
35,21,51,4,6,68,36,0
36,252,19,14,6,56,38,0
37,235,31,16,4,67,19,0
38,344,49,17,7,42,9,0
39,48,13,4,8,12,9,0
40,474,49,12,3,18,25,0
41,58,27,18,3,23,24,0
42,169,45,12,7,84,27,0
43,475,51,17,0,6,12,0
44,187,52,13,3,53,14,0
45,463,23,3,5,98,5,0
46,270,14,3,3,42,11,0
47,189,21,19,5,66,18,0
48,445,29,19,4,30,31,0
49,174,3,18,8,9,10,0
50,445,12,12,9,91,37,0
51,50,58,11,8,42,32,0
52,363,22,6,3,34,1,0
53,54,7,11,3,40,14,0
54,243,17,3,7,88,35,0
55,319,11,1,9,17,4,0
56,130,54,1,3,29,14,0
57,484,30,4,1,50,42,0
58,306,13,9,1,76,9,0
59,134,33,9,0,95,16,0
60,20,17,8,4,49,33,0
61,328,55,12,5,73,23,0
62,166,33,6,8,61,9,0
63,273,10,4,4,83,29,0
64,387,40,9,5,46,2,0
65,88,11,9,5,46,36,0
66,315,48,5,2,17,2,0
67,13,14,18,3,66,39,0
68,241,56,7,0,5,4,0
69,264,30,0,3,54,27,1
70,345,48,16,0,16,43,0
71,52,57,6,4,81,13,0
72,385,28,13,7,91,38,0
73,339,25,16,7,7,10,0
74,91,17,8,4,8,7,0
75,366,31,16,9,72,36,0
76,443,21,4,1,87,7,0
77,454,37,19,5,96,11,0
78,427,16,7,0,82,14,0
79,263,22,5,6,38,18,0
80,430,23,10,3,54,47,0
81,34,49,18,4,76,45,0
82,205,7,3,5,15,27,0
83,80,40,17,0,92,6,0
84,419,5,0,8,50,39,1
85,49,4,12,9,56,6,1
86,359,43,13,3,95,29,0
87,387,56,0,7,9,17,1
88,1,28,10,4,8,23,0
89,389,27,16,7,19,5,0
90,53,10,3,0,51,3,0
91,105,56,11,7,72,2,0
92,259,0,9,3,98,48,0
93,309,42,5,1,57,46,0
94,476,18,0,5,68,5,1
95,190,8,6,1,31,25,0
96,401,26,15,4,3,43,0
97,217,33,13,1,99,37,0
98,43,43,19,2,83,10,0
99,161,3,19,5,43,28,0
100,201,35,5,0,29,19,0
101,445,17,4,5,10,9,0
102,483,14,17,2,12,25,0
103,269,50,14,6,46,47,0
104,350,12,5,1,30,26,0
105,303,18,18,5,94,49,0
106,270,48,0,7,82,13,1
107,455,5,0,0,88,35,1
108,461,47,12,8,32,11,0
109,214,55,2,4,73,22,0
110,251,11,9,4,47,20,0
111,189,50,2,4,88,7,0
112,295,36,8,5,63,38,0
113,212,16,7,1,26,8,0
114,207,57,2,5,3,23,0
115,236,22,12,3,23,30,0
116,337,25,5,7,75,24,0
117,366,28,12,8,74,16,0
118,52,32,19,8,50,41,0
119,279,59,19,7,36,28,0
120,409,26,11,2,13,2,0
121,216,24,12,9,29,20,0
122,251,55,1,3,38,7,0
123,187,54,15,0,77,13,0
124,379,9,5,8,90,38,0
125,492,46,18,4,84,15,0
126,40,22,12,5,5,17,0
127,156,20,16,2,20,30,0
128,14,20,8,9,78,10,0
129,300,42,16,7,14,37,0
130,64,12,1,6,8,19,0
131,344,36,18,0,48,45,0
132,326,32,18,9,13,44,0
133,8,23,6,4,24,3,0
134,343,43,9,9,79,19,0
135,128,10,9,8,65,30,0
136,491,16,19,5,86,19,0
137,135,3,8,7,34,10,0
138,471,46,16,9,51,49,0
139,62,24,14,0,3,0,0
140,138,29,1,9,90,43,0
141,498,8,3,6,78,17,0
142,80,20,18,2,58,38,0
143,391,19,16,8,72,43,0
144,162,18,4,5,55,32,0
145,418,18,6,4,80,35,0
146,288,11,17,7,42,17,0
147,378,36,6,7,21,46,0
148,260,41,16,2,10,30,0
149,489,16,6,1,57,34,0
150,230,36,3,1,25,38,0
151,40,53,7,4,56,37,0
152,27,47,12,9,38,14,0
153,134,38,3,6,86,46,0
154,200,27,5,7,61,5,0
155,327,40,4,9,47,7,0
156,267,34,11,7,54,39,0
157,417,46,3,7,46,21,0
158,32,47,8,9,68,0,0
159,47,17,3,2,4,12,0
160,406,13,18,1,94,23,0
161,61,34,13,3,66,20,0
162,215,43,4,0,93,44,0
163,292,40,17,2,43,42,0
164,98,59,9,8,62,3,0
165,171,6,18,6,85,6,0
166,359,40,11,6,85,11,0
167,213,12,17,0,85,12,0
168,474,17,16,6,4,43,0
169,34,36,10,9,65,15,0
170,448,12,2,6,62,5,0
171,226,35,16,3,90,13,0
172,100,30,0,6,2,47,1
173,430,1,14,7,9,30,0
174,461,15,8,2,57,35,0
175,130,8,14,9,45,36,0
176,256,8,2,1,18,40,0
177,4,37,18,6,48,34,0
178,217,10,12,4,42,9,0
179,254,53,11,4,41,16,0
180,397,55,19,4,75,41,0
181,358,21,0,6,89,29,1
182,282,32,16,8,90,43,0
183,392,35,12,7,58,6,0
184,206,44,0,5,42,17,1
185,14,22,9,6,35,18,0
186,345,44,14,8,38,14,0
187,41,44,6,5,67,38,0
188,379,33,17,0,41,43,0
189,460,8,15,3,99,21,0
190,178,23,13,7,50,38,0
191,62,7,17,6,86,41,0
192,351,6,6,2,72,29,0
193,230,35,16,9,79,19,0
194,240,17,17,2,45,31,0
195,51,2,11,2,71,41,0
196,95,27,7,0,19,24,0
197,387,5,1,9,17,22,0
198,221,43,6,0,65,4,0
199,484,43,3,5,93,49,0
200,406,20,17,0,77,40,0
201,230,27,5,4,56,29,0
202,236,39,8,3,93,47,0
203,142,53,8,4,41,38,0
204,170,53,13,6,42,26,0
205,28,0,7,5,6,41,1
206,35,35,18,8,69,36,0
207,12,20,2,5,98,6,0
208,159,59,17,8,75,4,0
209,326,42,4,3,73,14,0
210,186,34,13,0,40,41,0
211,242,12,3,0,41,7,0
212,85,56,6,9,9,8,0
213,283,48,19,6,8,10,0
214,65,53,11,2,44,21,0
215,169,53,1,1,58,33,0
216,44,9,10,5,67,34,0
217,61,52,13,5,13,12,0
218,440,43,15,6,19,10,0
219,133,46,19,4,98,31,0
220,283,52,5,7,96,41,0
221,27,9,3,6,49,14,0
222,107,45,14,1,80,37,0
223,43,12,0,0,82,0,1
224,339,36,6,8,78,45,0
225,285,37,11,4,30,49,0
226,445,23,9,4,66,23,0
227,330,1,4,9,77,42,0
228,127,21,11,3,91,39,0
229,347,16,17,1,59,21,0
230,472,35,9,4,53,2,0
231,230,13,5,1,52,13,0
232,189,9,11,6,81,1,0
233,224,34,6,8,31,31,0
234,384,24,17,8,15,47,0
235,376,2,1,5,20,37,0
236,282,46,9,0,5,32,0
237,445,37,14,5,7,45,0
238,120,16,11,4,18,41,0
239,115,11,16,3,56,5,0
240,460,53,3,5,75,40,0
241,232,51,6,5,96,38,0
242,258,23,8,5,91,24,0
243,358,28,18,1,90,33,0
244,197,42,6,6,45,10,0
245,455,24,1,3,28,45,0
246,410,35,5,8,50,36,0
247,136,57,17,9,2,40,0
248,317,59,5,1,84,6,0
249,164,25,12,4,68,45,0
250,224,37,18,3,77,47,0
251,306,0,1,8,24,21,0
252,233,19,11,3,48,47,0
253,171,54,14,7,45,38,0
254,151,27,13,7,93,9,0
